Year,Month,Work Type,Value
2011,"Jan ",All Repair and Maintenance,4399
2011,"Jan ",All Work,12135
2011,"Feb ",New Housing - Public,506
2011,"Feb ",New Housing - Private,1649
2011,"Feb ",Total Housing,2156
2011,"Feb ",Other New Work - Infrastructure,1462
2011,"Feb ",Other New Work - Excluding Infrastructure - Public,1555
2011,"Feb ",Other New Work - Excluding Infrastructure - Private Industrial,342
2011,"Feb ",Other New Work - Excluding Infrastructure - Private Commercial,2319
2011,"Feb ",All New Work,7833
2011,"Feb ",Repair & Maintenance - Housing - Private,766
2011,"Feb ",Repair & Maintenance - Housing - Public,1530
2011,"Feb ",Repair & Maintenance - Housing - Total,2296
2011,"Feb ",Repair and Maintenance - Non Housing R&M,2083
2011,"Feb ",All Repair and Maintenance,4379
2011,"Feb ",All Work,12212
2011,"Mar ",New Housing - Public,516
2011,"Mar ",New Housing - Private,1641
2011,"Mar ",Total Housing,2157
2011,"Mar ",Other New Work - Infrastructure,1480
2011,"Mar ",Other New Work - Excluding Infrastructure - Public,1491
2011,"Mar ",Other New Work - Excluding Infrastructure - Private Industrial,338
2011,"Mar ",Other New Work - Excluding Infrastructure - Private Commercial,2384
2011,"Mar ",All New Work,7849
2011,"Mar ",Repair & Maintenance - Housing - Private,776
2011,"Mar ",Repair & Maintenance - Housing - Public,1546
2011,"Mar ",Repair & Maintenance - Housing - Total,2322
2011,"Mar ",Repair and Maintenance - Non Housing R&M,2122
2011,"Mar ",All Repair and Maintenance,4444
2011,"Mar ",All Work,12293
2011,Apr,New Housing - Public,501
2011,Apr,New Housing - Private,1627
2011,Apr,Total Housing,2128
2011,Apr,Other New Work - Infrastructure,1559
2011,Apr,Other New Work - Excluding Infrastructure - Public,1423
2011,Apr,Other New Work - Excluding Infrastructure - Private Industrial,340
2011,Apr,Other New Work - Excluding Infrastructure - Private Commercial,2432
2011,Apr,All New Work,7882
2011,Apr,Repair & Maintenance - Housing - Private,750
2011,Apr,Repair & Maintenance - Housing - Public,1616
2011,Apr,Repair & Maintenance - Housing - Total,2366
2011,Apr,Repair and Maintenance - Non Housing R&M,2105
2011,Apr,All Repair and Maintenance,4471
2011,Apr,All Work,12353
2011,May,New Housing - Public,497
2011,May,New Housing - Private,1620
2011,May,Total Housing,2117
2011,May,Other New Work - Infrastructure,1581
2011,May,Other New Work - Excluding Infrastructure - Public,1385
2011,May,Other New Work - Excluding Infrastructure - Private Industrial,343
2011,May,Other New Work - Excluding Infrastructure - Private Commercial,2391
2011,May,All New Work,7817
2011,May,Repair & Maintenance - Housing - Private,726
2011,May,Repair & Maintenance - Housing - Public,1518
2011,May,Repair & Maintenance - Housing - Total,2244
2011,May,Repair and Maintenance - Non Housing R&M,2092
2011,May,All Repair and Maintenance,4335
2011,May,All Work,12153
2011,June,New Housing - Public,468
2011,June,New Housing - Private,1695
2011,June,Total Housing,2163
2011,June,Other New Work - Infrastructure,1600
2011,June,Other New Work - Excluding Infrastructure - Public,1369
2011,June,Other New Work - Excluding Infrastructure - Private Industrial,368
2011,June,Other New Work - Excluding Infrastructure - Private Commercial,2513
2011,June,All New Work,8013
2011,June,Repair & Maintenance - Housing - Private,745
2011,June,Repair & Maintenance - Housing - Public,1517
2011,June,Repair & Maintenance - Housing - Total,2262
2011,June,Repair and Maintenance - Non Housing R&M,2053
2011,June,All Repair and Maintenance,4315
2011,June,All Work,12328
2011,July,New Housing - Public,433
2011,July,New Housing - Private,1708
2011,July,Total Housing,2141
2011,July,Other New Work - Infrastructure,1536
2011,July,Other New Work - Excluding Infrastructure - Public,1327
2011,July,Other New Work - Excluding Infrastructure - Private Industrial,323
2011,July,Other New Work - Excluding Infrastructure - Private Commercial,2451
2011,July,All New Work,7779
2011,July,Repair & Maintenance - Housing - Private,723
2011,July,Repair & Maintenance - Housing - Public,1519
2011,July,Repair & Maintenance - Housing - Total,2242
2011,July,Repair and Maintenance - Non Housing R&M,2145
2011,July,All Repair and Maintenance,4387
2011,July,All Work,12166
2011,Aug,New Housing - Public,450
2011,Aug,New Housing - Private,1662
2011,Aug,Total Housing,2112
2011,Aug,Other New Work - Infrastructure,1460
2011,Aug,Other New Work - Excluding Infrastructure - Public,1259
2011,Aug,Other New Work - Excluding Infrastructure - Private Industrial,333
2011,Aug,Other New Work - Excluding Infrastructure - Private Commercial,2439
2011,Aug,All New Work,7603
2011,Aug,Repair & Maintenance - Housing - Private,721
2011,Aug,Repair & Maintenance - Housing - Public,1490
2011,Aug,Repair & Maintenance - Housing - Total,2211
2011,Aug,Repair and Maintenance - Non Housing R&M,2149
2011,Aug,All Repair and Maintenance,4360
2011,Aug,All Work,11963
2011,Sep,New Housing - Public,481
2011,Sep,New Housing - Private,1622
2011,Sep,Total Housing,2103
2011,Sep,Other New Work - Infrastructure,1463
2011,Sep,Other New Work - Excluding Infrastructure - Public,1256
2011,Sep,Other New Work - Excluding Infrastructure - Private Industrial,323
2011,Sep,Other New Work - Excluding Infrastructure - Private Commercial,2490
2011,Sep,All New Work,7634
2011,Sep,Repair & Maintenance - Housing - Private,706
2011,Sep,Repair & Maintenance - Housing - Public,1534
2011,Sep,Repair & Maintenance - Housing - Total,2240
2011,Sep,Repair and Maintenance - Non Housing R&M,2142
2011,Sep,All Repair and Maintenance,4382
2011,Sep,All Work,12016
2011,Oct,New Housing - Public,443
2011,Oct,New Housing - Private,1596
2011,Oct,Total Housing,2039
2011,Oct,Other New Work - Infrastructure,1381
2011,Oct,Other New Work - Excluding Infrastructure - Public,1155
2011,Oct,Other New Work - Excluding Infrastructure - Private Industrial,342
2011,Oct,Other New Work - Excluding Infrastructure - Private Commercial,2472
2011,Oct,All New Work,7389
2011,Oct,Repair & Maintenance - Housing - Private,716
2011,Oct,Repair & Maintenance - Housing - Public,1609
2011,Oct,Repair & Maintenance - Housing - Total,2325
2011,Oct,Repair and Maintenance - Non Housing R&M,2111
2011,Oct,All Repair and Maintenance,4436
2011,Oct,All Work,11825
2011,Nov,New Housing - Public,457
2011,Nov,New Housing - Private,1611
2011,Nov,Total Housing,2068
2011,Nov,Other New Work - Infrastructure,1473
2011,Nov,Other New Work - Excluding Infrastructure - Public,1171
2011,Nov,Other New Work - Excluding Infrastructure - Private Industrial,346
2011,Nov,Other New Work - Excluding Infrastructure - Private Commercial,2515
2011,Nov,All New Work,7572
2011,Nov,Repair & Maintenance - Housing - Private,719
2011,Nov,Repair & Maintenance - Housing - Public,1582
2011,Nov,Repair & Maintenance - Housing - Total,2301
